screen_name,text,sentiment,score,time
Shimmyfab,So much for @BernieSanders #climatechange idea https://t.co/HSHmx2PqPx @ScotsFyre @PolitiBunny @PoliticalShort @CNN https://t.co/tzaux5Jfte,neutral,0,Thu Apr 21 15:10:11 +0000 2016
Shimmyfab,So much for @BernieSanders #climatechange solution #Feelthedumb https://t.co/HSHmx2PqPx @Carbongate @HealthRanger https://t.co/95jY1MqyTh,neutral,0,Thu Apr 21 15:12:08 +0000 2016
Shimmyfab,So much for @BernieSanders war on CO2 @SteveSGoddard @tan123 @NotCMBurns @A_M_Perez @WSCP1 https://t.co/HSHmx2PqPx https://t.co/JUcyZbD82W,negative,-0.601837,Thu Apr 21 15:08:28 +0000 2016
tan123,"""esp. those who take [AGW] seriously — have an obligation to blast green-snake-oil salesmen like Bernie Sanders"" https://t.co/KhOKg565vu",positive,0.480814,Thu Apr 21 13:45:44 +0000 2016
EValentine2016,"Maybe Bernie's Environment Plans Won't Cut CO2 Levels
https://t.co/DloCTskuuq
via - @IBDeditorials https://t.co/K8RtylJYxH",negative,-0.0852,Thu Apr 21 13:38:30 +0000 2016
amedsker,"C'mon Bernie, USE YOUR HEAD.  It's CO2 emissions, not nukes, that is the problem!  https://t.co/kCilUaXiah @envprogress",negative,-0.394387,Thu Apr 21 13:13:59 +0000 2016
Bobbien555,Bernie Sanders' 'War' On Climate Change Would Sharply Boost CO2 Emissions https://t.co/2yTwq48V78 via @IBDeditorials,positive,0.360064,Thu Apr 21 09:48:29 +0000 2016
KenSnyder4,Bernie Sanders' 'War' On Climate Change Would Sharply Boost CO2 Emissions https://t.co/iSnjAMQryO via @IBDeditorials,positive,0.360064,Thu Apr 21 11:54:05 +0000 2016
GlobalWarming36,Bernie Sanders' 'War' On Climate Change Would Sharply Boost CO2 Emissions - Investor's Business Daily https://t.co/5jJzA6jPiI,positive,0.573781,Thu Apr 21 08:32:07 +0000 2016
WarmingWorld,Bernie Sanders' 'War' On Climate Change Would Sharply Boost CO2 Emissions - Investor's Business Daily https://t.co/8UkCFaqNSJ,positive,0.573781,Thu Apr 21 08:05:11 +0000 2016
