screen_name,text,sentiment,score,time
eelawl1966,"We’re out of time on climate change. And Hillary Clinton helped get us here | Naomi Klein

#ClimateActionNow 
 https://t.co/Va6EwpdiQB",negative,-0.228255,Thu Apr 21 00:56:14 +0000 2016
JudeReneMontars,We’re out of time on climate change. And Hillary Clinton helped get us here | Naomi Klein https://t.co/l2bWcEAHy0,neutral,0,Thu Apr 21 00:18:36 +0000 2016
MyClubEco_GDC,Where do Hillary and Bernie stand on environmental issues? @newsweek lays out the facts: https://t.co/xMj3NPFeOX https://t.co/RB1ZbV5fh1,negative,-0.402884,Wed Apr 20 15:56:04 +0000 2016
hobbitj,We’re out of time on climate change. And Hillary Clinton helped get us here | Naomi Klein https://t.co/uyhu9r2FGl,neutral,0,Thu Apr 21 03:33:09 +0000 2016
NubiCat,We’re out of time on climate change. And Hillary Clinton helped get us here | Naomi Klein https://t.co/wLjrCiE2xl,neutral,0,Thu Apr 21 02:21:44 +0000 2016
mralmondbread,@justin_kanew Will anyone be able look back upon that moment fondly if we don't hold the line on climate change? https://t.co/ZEqa5DX9Tb,neutral,0,Wed Apr 20 05:25:57 +0000 2016
cld9731,Yes. No excuse. HRC did very little right on Climate when she was at State. Her current plan https://t.co/2qs5awQeQw,negative,-0.332425,Wed Apr 20 15:25:56 +0000 2016
cld9731,@IowaPeg Another one is the disaster she has been on climate change. https://t.co/VDL9f9hHBh,negative,-0.585557,Wed Apr 20 15:15:40 +0000 2016
eelawl1966,"We’re out of time on climate change. And Hillary Clinton helped get us here | Naomi Klein

#NYPrimary 

 https://t.co/Va6EwpdiQB",neutral,0,Wed Apr 20 00:19:21 +0000 2016
ImwithHer2016,"Hillary Clinton spearheaded U.S. relations with China to enhance cooperation on climate change, energy, and the environment. ♻️🌏🔋",positive,0.409495,Wed Apr 20 11:45:22 +0000 2016
Una_Adelita,Bernie flight to Rome berns gallons of fuel hrs after attacking Clinton on climate  change. https://t.co/4eaJzzIVHg via @MailOnline,negative,-0.372316,Wed Apr 20 13:47:38 +0000 2016
EFHusoe,We’re out of time on climate change. And Hillary Clinton helped get us here | Naomi Klein https://t.co/0vrEGbNsSv #TYTLive,neutral,0,Tue Apr 19 19:21:57 +0000 2016
lpdoyle,We’re out of time on climate change. And Hillary Clinton helped get us here | Naomi Klein https://t.co/QEIiGJ3T9p,neutral,0,Tue Apr 19 23:00:57 +0000 2016
EJinAction,Breaking down Clinton and Sanders's opposing philosophies on climate change https://t.co/sYHzGdZZLF @EJinAction https://t.co/4TzvC3CKJr,negative,-0.772829,Tue Apr 19 18:50:22 +0000 2016
SGVforHillary,Clinton: A leader on Climate Change https://t.co/16448bAT9t via @bustle,neutral,0,Tue Apr 19 17:07:17 +0000 2016
cfang27,@BernieSanders it is clear who is the progressive on climate change:  https://t.co/gwDPiuDibt via @wordpressdotcom,positive,0.614782,Tue Apr 19 14:46:51 +0000 2016
Stephen_Ocean,We’re out of time on #ClimateChange. And Hillary Clinton helped get us here | Naomi Klein https://t.co/BxAjgoBzay,neutral,0,Wed Apr 20 07:49:27 +0000 2016
CoWildlifePhoto,We’re out of time on climate change. And Hillary Clinton helped get us here | Naomi Klein https://t.co/SSlqT5yhCx,neutral,0,Tue Apr 19 13:48:50 +0000 2016
danvzla,Bernie Sanders takes private jet for 24-hour trip to Vatican after attacking Hillary Clinton on climate change  https://t.co/etwhIJC9TP,negative,-0.308107,Wed Apr 20 03:40:38 +0000 2016
Info_Pacifica,We’re out of time on climate change. And Hillary Clinton helped get us here | Naomi Klein https://t.co/rtE8NEQG1H,neutral,0,Tue Apr 19 03:09:43 +0000 2016
AmazingBernie,We’re out of time on climate change. And Hillary Clinton helped get us here | Naomi Klein https://t.co/uHRHObZuDZ,neutral,0,Mon Apr 18 20:58:06 +0000 2016
JMTempleton,"Great piece by @NaomiAKlein on why Secretary Clinton's model's insufficient to deal w/ #climatechange 
https://t.co/9hVszOsbe3
#uselections",negative,-0.273416,Mon Apr 18 01:34:02 +0000 2016
JohnWesleyShipp,Bernie Sanders takes private jet for 24-hour trip to Vatican after attacking Hillary Clinton on climate change  https://t.co/DiVWezIJCk,negative,-0.308107,Mon Apr 18 23:36:06 +0000 2016
ramadeyrao,BS takes private jet for 24-hour trip to Vatican after attacking Hillary Clinton on climate change  | via https://t.co/2T4NW7Pf2p,negative,-0.335911,Mon Apr 18 02:36:59 +0000 2016
