screen_name,text,sentiment,score,time
stephaniedrago3,https://t.co/WjnZWEXwyf. Climate change is real. PP caught on video selling dead babies for profit is make believe😡,negative,-0.477781,Mon Apr 18 21:08:34 +0000 2016
TarpaulinSimon,"Depressing to read Ted Cruz quoted on fossil fuel, climate change &amp; gun control. Is there an alternate GOP candidate https://t.co/Ht1D8HpxDB",negative,-0.456743,Sun Apr 17 09:16:14 +0000 2016
SummertonNews,Sen. Ted Cruz and other GOP politicians bow to oil industry and disavow scientists claims on global #climate change https://t.co/pL5bVxZMhg,negative,-0.404493,Sun Apr 17 17:54:52 +0000 2016
MaggyBeeee,Katie Couric Interviews Sen. Ted Cruz on Climate Change https://t.co/47JiQJd9Zx via @YouTube,negative,-0.553529,Sun Apr 17 22:43:14 +0000 2016
chiefplan1,Ted Cruz shows why he is an illiterate idiot on Climate change,negative,-0.62202,Mon Apr 18 22:27:38 +0000 2016
KiloGrahamGamer,@Darth_Se7en Just gonna say it right now: Ted Cruz is not the #1 preeminent expert on climate change. Look somewhere else :P,negative,-0.00277343,Sun Apr 17 04:31:20 +0000 2016
mzee26,Flashback / BRILLIANT! Watch Ted Cruz DESTROY Sierra Club President on Climate Change https://t.co/8qMDy9qqQz,positive,0.789551,Fri Apr 15 18:28:44 +0000 2016
SquawkCNBC,'@JoeSquawk asked @tedcruz to weigh in on climate change. Here's what he said. #CruzOnSquawk https://t.co/D93uTq2RRx,negative,-0.029601,Fri Apr 15 16:49:58 +0000 2016
plarkin,@andrewrsorkin had to sit through Ted Cruz's climate change denial. Only guy with a brain on @SquawkCNBC,negative,-0.431389,Fri Apr 15 13:06:35 +0000 2016
FreedomGrafiti,"Let's take a moment to watch Ted Cruz destroy the president of the Sierra Club on climate change. #ChooseCruz #tcot

https://t.co/SKPX9rL904",negative,-0.221088,Sat Apr 16 07:22:27 +0000 2016
jnj49,@BillMoyersHQ @juditeva  Today on CNBC Ted Cruz confirmed he does not take climate change seriously and along with DT will drill public land,neutral,0,Sat Apr 16 00:10:30 +0000 2016
kayoneill,Better that Ted Pinocchio Cruz went up against Bill Nye! A presidential hopeful who not only denies warming but... https://t.co/AVjSbMucUt,positive,0.336162,Sat Apr 16 02:26:21 +0000 2016
AmBeachy,'@JoeSquawk asked @tedcruz to weigh in on climate change. Here's what he said. #CruzOnSquawk https://t.co/XahMNp9vxi,negative,-0.029601,Fri Apr 15 18:34:12 +0000 2016
CA_Dem,"Chairman Burton on @tedcruz climate change denial: ""After all, it could be Noah's flood."" https://t.co/2h9130scqL https://t.co/gkE2mek2GG",positive,0.225222,Fri Apr 15 02:14:09 +0000 2016
MichaelGrande4,Science is good enough  to prove life but doesn't mean shit when it comes to climate change. Ted Cruz on #msnbc. Painful.,negative,-0.560689,Fri Apr 15 00:56:41 +0000 2016
Keybord,#LoseCruz! You might want to listen to evangelicals on climate change (COMMENTARY) https://t.co/yiOlJrvD0e via @RNS #Cruz sucks!,negative,-0.850529,Tue Apr 12 07:49:14 +0000 2016
mjm488,@jameskann Ted Cruz on climate change? Not sure Trump's views there (if any),negative,-0.308801,Wed Apr 13 02:00:00 +0000 2016
aleszubajak,"On climate, Ted Cruz doesn't think like a scientist. @TomLevenson has the nuanced argument: https://t.co/aCMuMntXyJ https://t.co/j9Q50HoXB2",positive,0.470203,Thu Apr 21 13:15:52 +0000 2016
MyDesert,Ted Cruz has a long history of support for oil &amp; gas production. Explore candidates’ views on climate #PrimaryDay https://t.co/CCxYRn1RZk,positive,0.253513,Tue Apr 19 23:50:23 +0000 2016
chiefplan1,Ted Cruz shows why he is an illiterate idiot on Climate change,negative,-0.62202,Mon Apr 18 22:27:38 +0000 2016
stephaniedrago3,https://t.co/WjnZWEXwyf. Climate change is real. PP caught on video selling dead babies for profit is make believe😡,negative,-0.477781,Mon Apr 18 21:08:34 +0000 2016
SummertonNews,Sen. Ted Cruz and other GOP politicians bow to oil industry and disavow scientists claims on global #climate change https://t.co/pL5bVxZMhg,negative,-0.404493,Sun Apr 17 17:54:52 +0000 2016
Dleebosh,"Ted Cruz says he is ""a Christian first and an American second"" yet he rejects the Pope on climate change and the death penalty",negative,-0.634979,Sun Apr 17 16:50:19 +0000 2016
