screen_name,text,sentiment,score,time
FJHandley,"Yep. ""Kasich Is No Better Than Donald Trump on Global Warming""
https://t.co/VeAd3hMle7 https://t.co/BKoah0Vsis",negative,-0.549338,Fri Apr 15 21:59:29 +0000 2016
alan_john_moran,"Hilary promises to destroy US “let’s combat climate change increase min. wage focus on LGBT"", https://t.co/FPRrYv7Fke",negative,-0.701522,Wed Apr 20 02:44:58 +0000 2016
2know,John Kasich Is No Better Than Donald Trump on Global Warming | Mother Jones https://t.co/hwhIqar2C1,negative,-0.462116,Sat Apr 16 14:09:03 +0000 2016
BrendanHughes_,"The perfect candidate who shares my beliefs, 3 of the worst people on the planet,and some climate change denier namedJohn Kasich. RIP USA",negative,-0.712327,Thu Apr 21 17:15:56 +0000 2016
TDSIanJames,Where the presidential candidates stand on #climatechange: Here's a breakdown https://t.co/47AkKFBJDZ @Sammy_Roth @usatoday2016,negative,-0.286286,Wed Apr 20 23:54:39 +0000 2016
TDSIanJames,"Where do the candidates stand on fossil fuels, water and endangered species? Here's a breakdown: https://t.co/uUmuGSUQIg @onenation",negative,-0.506899,Tue Apr 19 21:37:51 +0000 2016
MyDesert,"Do you know where the presidential candidates stand on climate change? See our interactive questions. #onenation
https://t.co/CCxYRn1RZk",positive,0.415976,Tue Apr 19 15:01:14 +0000 2016
Sammy_Roth,"Check out @RobHopwood's cool interactive showing where the presidential candidates stand on climate, water, species: https://t.co/sABOg1Jd4E",positive,0.648739,Tue Apr 19 01:24:36 +0000 2016
MyDesert,#DonaldTrump's views on energy and water policy are largely a mystery. Find out where the candidates stand: https://t.co/CCxYRmKgAK,positive,0.478951,Tue Apr 19 02:00:23 +0000 2016
RobHopwood,Where do @HillaryClinton @realDonaldTrump @JohnKasich @BernieSanders &amp; @TedCruz stand on #ClimateChange? https://t.co/KFDI75Pfzp,neutral,0,Tue Apr 19 01:21:17 +0000 2016
Sammy_Roth,"We've also got a quick breakdown of where the presidential candidates stand on climate, among many other pieces: https://t.co/sABOg20NWc",positive,0.240694,Wed Apr 20 21:50:43 +0000 2016
NRDC_AF,"Where the presidential candidates stand on environmental issues, from @MyDesert. https://t.co/Z6RZpPEX5P",negative,-0.219952,Wed Apr 20 22:05:22 +0000 2016
onenation,Where are the presidential candidates on climate change? Read all about it: https://t.co/FgSIcVrz9O,negative,-0.380437,Tue Apr 19 20:26:47 +0000 2016
Sammy_Roth,"ALSO: Find out where the presidential candidates stand on fossil fuels, water &amp; species protection: https://t.co/sABOg1Jd4E #climatechange",positive,0.210716,Tue Apr 19 17:13:26 +0000 2016
alan_john_moran,"Hilary promises to destroy US “let’s combat climate change increase min. wage focus on LGBT"", https://t.co/FPRrYv7Fke",negative,-0.701522,Wed Apr 20 02:44:58 +0000 2016
MyDesert,Ted Cruz has a long history of support for oil &amp; gas production. Explore candidates’ views on climate #PrimaryDay https://t.co/CCxYRn1RZk,positive,0.253513,Tue Apr 19 23:50:23 +0000 2016
Sammy_Roth,"ALSO: We asked the presidential candidates for their views on fossil fuels, water and species protection: https://t.co/sABOg1Jd4E @USATODAY",positive,0.293463,Tue Apr 19 01:19:38 +0000 2016
Tuesday4Kasich,🔗 It’s no surprise that climate change would be on Kasich’s radar. https://t.co/N2IkaKIEf0 https://t.co/K0dNBlwQpn @NewYorker Chester,negative,-0.434567,Sun Apr 17 23:59:23 +0000 2016
2know,John Kasich Is No Better Than Donald Trump on Global Warming | Mother Jones https://t.co/hwhIqar2C1,negative,-0.462116,Sat Apr 16 14:09:03 +0000 2016
siuoljc,"Bill Nye calling out Trump, Cruz and Kasich on climate change. #BUCKSBAUM",negative,-0.258103,Fri Apr 15 00:57:41 +0000 2016
FJHandley,"Yep. ""Kasich Is No Better Than Donald Trump on Global Warming""
https://t.co/VeAd3hMle7 https://t.co/BKoah0Vsis",negative,-0.549338,Fri Apr 15 21:59:29 +0000 2016
Tuesday4Kasich,🔗 It’s no surprise that climate change would be on @JohnKasich’s radar. https://t.co/N2IkaKIEf0 https://t.co/K0dNBlwQpn Owego,negative,-0.349087,Wed Apr 13 13:08:13 +0000 2016
Tuesday4Kasich,🔗 It’s no surprise that climate change would be on @JohnKasich’s radar. https://t.co/N2IkaKIEf0 https://t.co/K0dNBlwQpn #statenisland,negative,-0.349087,Wed Apr 13 02:58:56 +0000 2016
RobHopwood,Where do @HillaryClinton @realDonaldTrump @JohnKasich @BernieSanders &amp; @TedCruz stand on #ClimateChange? https://t.co/KFDI75Pfzp,neutral,0,Tue Apr 19 01:21:17 +0000 2016
