screen_name,text,sentiment,score,time
jayancm,@choyyan that Gopi Shah needs to come out of coma..Climate change &amp; u blame it on Modi &amp; u RT it.. LOL https://t.co/I2rXAO13y2,positive,0.084485,Wed Apr 20 13:29:34 +0000 2016
rajatsi58537824,"https://t.co/jDFdAfroqs
@SmokingSkills_  @Joydas  @VyangyaPuraan  @NavenduSingh_  @Ankita_Shah8 modi just slapped decaprio on climate change",negative,-0.624577,Tue Apr 19 08:33:58 +0000 2016
_TheARuN,I liked a @YouTube video https://t.co/XpVdiu6fCc Modi on climate change ..interaction with students,positive,0.30354,Tue Apr 19 06:34:56 +0000 2016
purnimchand,".@anshBx @RSSvsINDIA @iWaqar @YouTube 
No you don't know! Watch full video at 38:00 on https://t.co/Q8cYts9H86
Modi: climate change man-made",positive,0.0283681,Sun Apr 17 15:31:59 +0000 2016
pankajmishra23,"Listening this &amp; many nonsense frm Modi on computer,climate change,sports etc;Pappu title should be shared equally!😂 https://t.co/3nveMYyFXg",neutral,0,Tue Apr 19 15:15:14 +0000 2016
gen_MODI,"Channels TV Boss, John Momoh Challenges Africa On Climate Change: The Chairman/CEO of Channels Television, Mr ... https://t.co/acr7hQpghf",negative,-0.226733,Sat Apr 16 19:09:46 +0000 2016
arron_arun,@PMO_India my article in Hindi on #save Earth..climate change...for you sir... https://t.co/wyk14YL0rT,neutral,0,Thu Apr 14 20:43:33 +0000 2016
FinancialXpress,PM @narendramodi at #MaritimeIndiaSummit: Hope this summit will deliberate on climate change along with economic aspects of maritime sector,neutral,0,Thu Apr 14 05:26:35 +0000 2016
Mukund1206,#DNA #dnaindia @sudhirchaudhary @narendramodi #joiningRivers and addressing climate change on priority by both govt &amp; public can #savefuture,neutral,0,Fri Apr 15 15:54:28 +0000 2016
motifromhosalli,"@narendramodi Sir I have written concept on farmers' welfare minister who exclusively works for the farmers ,agri,forest&amp;climate change 1/3",positive,0.494959,Thu Apr 14 21:30:08 +0000 2016
goodvishes,iSupport #ParisAgreement on Climate Change with #Trees4Earth : @UNEP @UN @UNFCCC @PMOIndia @PrakashJavdekar @UNDP https://t.co/84ehTlZQS2,neutral,0,Sat Apr 16 12:59:53 +0000 2016
