screen_name,text,sentiment,score,time
walterdgreen,"Obama Speech:
-We need to resolve the issue of Climate change
-This can be fixed by having a positive outlook on race &amp; religion",negative,-0.192299,Thu Apr 21 17:48:34 +0000 2016
StopTechnocracy,Dear Leader Obama will pontifically sign the Paris climate change pact on Earth Day April 22. Where's our... https://t.co/SLsHrm2A4F,negative,-0.397618,Thu Apr 21 16:13:09 +0000 2016
ForeverTriceB,The Pope and Bernie is the ONLY two people concerned about climate change. Obama spoke on it once but never addressed it again.,negative,-0.216973,Thu Apr 21 15:17:52 +0000 2016
karma_galore,'Major victory' for kids suing Obama on Climate Change action @CNN https://t.co/jwb0VVo6fz .@EarthGuardianz #climatechange #globalwarming,neutral,0,Thu Apr 21 13:38:57 +0000 2016
RichardBenyonMP,Crispin Tickell: Cameron and Obama have shown that co-operation on climate change works | Conservative Home https://t.co/HAN1jr9RqM,neutral,0,Thu Apr 21 13:12:50 +0000 2016
updatesbot,EPA chief: Obama has 'changed the https://t.co/pPbfVl9Wht DISTRESS - CLIMATE CHANGE #39changed #change #chief FREE PROMOTIONS ADS GRATIS,neutral,0,Thu Apr 21 09:10:25 +0000 2016
ClimateHome,"Obama + Cameron must discuss #climatechange + Paris Agreement at London meeting, argues veteran UK diplomat https://t.co/nACQ1Rv2cL",negative,-0.291663,Thu Apr 21 10:08:57 +0000 2016
_richardblack,"Obama &amp; Cameron should mark diplomatic triumph on #climatechange, says Sir Crispin Tickell https://t.co/Pf6POsNyXT https://t.co/9fBCuhJllS",neutral,0,Thu Apr 21 09:08:37 +0000 2016
ECIU_UK,".@BarackObama &amp; @David_Cameron should celebrate #ParisAgreement this week, says Mrs Thatcher’s climate advisor https://t.co/FRlYPJvmz5",positive,0.407873,Thu Apr 21 08:30:30 +0000 2016
GSmeeton,"Cameron and Obama have shown that co-operation on climate change works, says Sir Crispin Tickell https://t.co/C24DxpDwND via @ConHome",neutral,0,Thu Apr 21 07:59:55 +0000 2016
TomFern81,Cameron and Obama have shown that co-operation on climate change works - former leading UK diplomat via @ConHome | https://t.co/nhIWcipegW,neutral,0,Thu Apr 21 08:10:25 +0000 2016
Tim_Nuthall,Former Thatcher advisor: Cameron and Obama have shown that co-operation on climate change works | Conservative Home https://t.co/1zuwZbjbf9,neutral,0,Thu Apr 21 07:52:48 +0000 2016
ConHome,Crispin Tickell: Cameron and Obama have shown that co-operation on climate change works https://t.co/xsbDd9R64H,neutral,0,Thu Apr 21 07:19:39 +0000 2016
ECIU_UK,"Will #climate be a legacy issue for @David_Cameron &amp; @BarackObama, asks Sir Crispin Tickell https://t.co/FRlYPJMXqD https://t.co/smwo98xObe",neutral,0,Thu Apr 21 12:29:04 +0000 2016
WSCP2,Obama EPA set to act against Congress &amp; American People on climate change. https://t.co/MHdNLfL6HE #ClimateScam #TeaParty #tcot #PJNET,negative,-0.431215,Thu Apr 21 04:45:19 +0000 2016
rileysomething,"You  asked the right FEMA question on Obama punishing certain states!
This story totally ignored:
https://t.co/U5ZYypBQhs
@ChrisSalcedoTX",negative,-0.613292,Thu Apr 21 13:36:40 +0000 2016
Hyderus,Post Edited: Is President Obama hypocritical on climate change? https://t.co/oPwwMAH49Y,negative,-0.769465,Thu Apr 21 13:06:56 +0000 2016
arman_104,President Obama working on climate change we do alao some thing like that in Pakistan.,negative,-0.393751,Thu Apr 21 11:24:52 +0000 2016
ECIU_UK,"UK &amp; US played crucial roles in #ParisAgreement and should celebrate today, Sir Crispin Tickell writes https://t.co/FRlYPJMXqD @ConHome",positive,0.33087,Thu Apr 21 10:38:01 +0000 2016
e3g,Ex-heavyweight diplomat: Cameron &amp; Obama have shown that cooperation on #climatechange works https://t.co/9JJovFZG79 https://t.co/cqLmHpGmFq,neutral,0,Thu Apr 21 10:50:05 +0000 2016
