screen_name,text,sentiment,score,time
mlmably,#DonaldTrump's views on #climatechange are just what you'd expect  https://t.co/MapBp3rKaj,positive,0.551852,Wed Apr 20 18:45:01 +0000 2016
RalphMoffettone,donald trump is too hugely bad for me to even have an opinion on like climate change or my life,negative,-0.795768,Thu Apr 21 15:50:45 +0000 2016
DocGoodwell,Some of the Worst CO2 Offenders on Climate Change: 'Meh' - Republican front-runner Donald Trump has indicated h... https://t.co/uFEEl5b24n,negative,-0.752491,Wed Apr 20 12:37:15 +0000 2016
SisterSabbay,"""...Francis in February rebuked Republican presidential candidate Donald Trump over Trump's stand on immigration.""  https://t.co/5UOP8CpeqE",neutral,0,Sun Apr 17 04:30:47 +0000 2016
Climate_Watcher,Some of the Worst CO2 Offenders on Climate Change: 'Meh': Republican front-runner Donald Trump has indicated h... https://t.co/QxFbeM4yUq,negative,-0.777724,Wed Apr 20 11:14:58 +0000 2016
kmmadisonk4,Some of the Worst CO2 Offenders on Climate Change: 'Meh': Republican front-runner Donald Trump has indicated h... https://t.co/pHezHPPucQ,negative,-0.777724,Wed Apr 20 11:28:21 +0000 2016
JamesAbbott2013,"Sarah Palin on climate change: ""Donald Trump is so reasonable and full of commonsense"" https://t.co/W5Huzxr2hA",positive,0.841766,Fri Apr 15 22:49:03 +0000 2016
FJHandley,"Yep. ""Kasich Is No Better Than Donald Trump on Global Warming""
https://t.co/VeAd3hMle7 https://t.co/BKoah0Vsis",negative,-0.549338,Fri Apr 15 21:59:29 +0000 2016
Riseupsouth,"1. West Hollywood Wants To Ban Donald Trump.
2. Government Crackdowns on Climate Change “Deniers.”
3. Travel Bans... https://t.co/MFido4cxZT",negative,-0.47619,Wed Apr 13 21:19:51 +0000 2016
HairyTheHobbit,Eco: Some of the Worst CO2 Offenders on Climate Change: 'Meh: U.S. News: Republican front-runner Donald Trump ... https://t.co/HoU4wbvhCs,negative,-0.759171,Wed Apr 20 11:44:01 +0000 2016
2know,John Kasich Is No Better Than Donald Trump on Global Warming | Mother Jones https://t.co/hwhIqar2C1,negative,-0.462116,Sat Apr 16 14:09:03 +0000 2016
francessinclai5,"Josh Fox in town to screen new film, challenges Donald Trump to a debate on climate change https://t.co/qth2yp32ZF",negative,-0.274446,Wed Apr 13 23:36:35 +0000 2016
Timothy_xcx,"@theresaamax idk world hunger, genocide, global climate change, donald trump, commander....the list goes on",negative,-0.405147,Thu Apr 14 02:18:10 +0000 2016
OccupyYtown,"Josh Fox in town to screen new film, challenges Donald Trump to a debate on climate change https://t.co/olE3jWoPIQ",negative,-0.274446,Wed Apr 13 22:06:38 +0000 2016
PGHCityPaper,".@JoshFox, in town to screen new film, challenges Donald Trump to a debate on climate change https://t.co/1kVlMAx0xB https://t.co/YjZO0lZWHN",neutral,0,Wed Apr 13 19:27:20 +0000 2016
mackiefree,"Donald Trump on climate change: ""It'll get cooler and it'll get warmer, it's called weather.""",positive,0.2198,Wed Apr 13 16:03:07 +0000 2016
